Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,momentum,daily_return,volatility
2025-03-17 00:00:00-04:00,69.45999908447266,71.51000213623047,69.41999816894531,70.58000183105469,2727200,0.0,0.0,,,
2025-03-18 00:00:00-04:00,70.41999816894531,71.31999969482422,70.12999725341797,70.87999725341797,2528300,0.0,0.0,,0.004250430923498305,
2025-03-19 00:00:00-04:00,70.61000061035156,71.19000244140625,69.69000244140625,70.05000305175781,2907700,0.0,0.0,,-0.011709850928643073,
2025-03-20 00:00:00-04:00,69.13999938964844,69.72000122070312,68.36000061035156,68.38999938964844,3056900,0.0,0.0,,-0.023697410275383524,
2025-03-21 00:00:00-04:00,67.37999725341797,68.44999694824219,67.11000061035156,67.25,13009400,0.0,0.0,,-0.01666909489431856,
2025-03-24 00:00:00-04:00,68.88999938964844,69.44000244140625,68.25,69.0199966430664,3390600,0.0,0.0,-0.02210265156584179,0.02631965268500225,0.01996767961193651
2025-03-25 00:00:00-04:00,68.69999694824219,68.97000122070312,68.04000091552734,68.22000122070312,2148300,0.0,0.0,-0.03752816218663968,-0.011590777474250191,0.0195233831680987
2025-03-26 00:00:00-04:00,68.12000274658203,68.5,66.94000244140625,67.5999984741211,1920600,0.0,0.0,-0.03497508166882568,-0.009088284014774795,0.019415942575261993
2025-03-27 00:00:00-04:00,67.20999908447266,67.31999969482422,65.94999694824219,66.30000305175781,1945900,0.0,0.0,-0.03055997012052858,-0.019230701948328432,0.018535249276700416
2025-03-28 00:00:00-04:00,65.80999755859375,65.98999786376953,63.72999954223633,64.12000274658203,2547300,0.0,0.0,-0.046542710087999484,-0.03288084773501354,0.021958638362280437
2025-03-31 00:00:00-04:00,63.5,64.7300033569336,62.720001220703125,64.62999725341797,3169800,0.0,0.0,-0.06360474649616554,0.007953750545700355,0.014919882058416678
2025-04-01 00:00:00-04:00,64.37000274658203,64.80000305175781,63.470001220703125,64.62000274658203,2090500,0.0,0.0,-0.05277042523752673,-0.0001546419195523896,0.0160197185193429
2025-04-02 00:00:00-04:00,63.599998474121094,65.56999969482422,63.58000183105469,64.80000305175781,2025800,0.0,0.0,-0.04142005156161632,0.0027855199245607754,0.017154578051966456
2025-04-03 00:00:00-04:00,62.06999969482422,62.33000183105469,56.75,56.7599983215332,6468600,0.0,0.0,-0.1438914674374464,-0.12407414122809224,0.055366351177694915
2025-04-04 00:00:00-04:00,56.130001068115234,56.16999816894531,52.040000915527344,52.779998779296875,5965600,0.0,0.0,-0.17685594949369599,-0.07011979668657642,0.05839466562741403
2025-04-07 00:00:00-04:00,52.02000045776367,56.849998474121094,49.79999923706055,53.380001068115234,7665900,0.0,0.0,-0.1740677187589974,0.011367986030604404,0.05906382061077054
2025-04-08 00:00:00-04:00,54.939998626708984,55.400001525878906,47.93000030517578,49.20000076293945,6328900,0.0,0.0,-0.23862583299655138,-0.07830648597855805,0.05751401651160467
2025-04-09 00:00:00-04:00,49.65999984741211,60.93000030517578,49.130001068115234,60.27000045776367,10709000,0.0,0.0,-0.06990744414588812,0.22499999030818807,0.13868687766601015
2025-04-10 00:00:00-04:00,56.88999938964844,57.68000030517578,51.650001525878906,53.84000015258789,6896300,0.0,0.0,-0.051444648613344746,-0.10668658132302211,0.13519862319061354
2025-04-11 00:00:00-04:00,53.400001525878906,56.56999969482422,51.68000030517578,56.540000915527344,5428000,0.0,0.0,0.07123914784373464,0.05014860243847297,0.1310740599583323
2025-04-14 00:00:00-04:00,58.02000045776367,58.79999923706055,56.459999084472656,57.720001220703125,3953800,0.0,0.0,0.08130386035492698,0.02087018546283259,0.1309809464107778
2025-04-15 00:00:00-04:00,57.959999084472656,58.91999816894531,57.15999984741211,57.400001525878906,2374000,0.0,0.0,0.16666667958908277,-0.005544000139581451,0.12065714330875373
2025-04-16 00:00:00-04:00,55.7599983215332,56.880001068115234,53.790000915527344,55.86000061035156,4712300,0.0,0.0,-0.07317072861983087,-0.02682928352942693,0.05949181111736244
2025-04-17 00:00:00-04:00,56.83000183105469,57.0,55.16999816894531,56.2400016784668,875664,0.0,0.0,0.04457655124585935,0.006802740135395169,0.028871101685611685
