date,ticker,sentiment,impact,impact_num,text_length,avg_tfidf,embedding_mean,momentum,daily_return,volatility,target_return
2025-03-19,NFLX,0.7,positive,1,214,0.0580245804867908,-0.00047609466,0.002078181770987342,0.0317318763687264,0.030721581870940727,0.025348077207054474
2025-03-19,DIS,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.03998644827215935,0.0094615244674725,0.03516919234352502,0.006321465284648519
2025-03-19,WBD,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.06508963877812572,0.0510105597168533,0.06573745434387969,0.04697984245264181
2025-03-19,PARA,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.022512807092990885,0.0068610570114038,0.022540308950538584,0.006861057011403851
2025-03-19,SPOT,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.01137381707515418,0.0294127986487122,0.03934991144622282,0.024931395870477453
2025-03-19,RBLX,0.7,positive,1,214,0.0580245804867908,-0.00047609466,0.005387467241563283,0.0378706493251264,0.039661776469932686,0.035281532072720424
2025-03-19,EA,0.7,positive,1,214,0.0580245804867908,-0.00047609466,0.004308574879376891,0.0007049137023866,0.015221299197299963,-0.0003520845673394236
2025-03-19,TTWO,0.7,positive,1,214,0.0580245804867908,-0.00047609466,0.006631833022005499,0.0222200133290357,0.02369240995299862,0.02382353240368413
2025-03-19,SONY,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.011224192199877107,0.0183523184008889,0.023592134876875975,0.015040606753952418
2025-03-19,MTCH,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.017445101799283356,0.0145208639971665,0.03003633303878366,0.014193565614762007
2025-03-19,LYV,0.7,positive,1,214,0.0580245804867908,-0.00047609466,0.014540616217626689,0.0288566602451583,0.03322154215040697,0.026188127265096253
2025-03-19,HUYA,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.017349087748597565,-0.0673854440510645,0.03625160248251038,-0.0773333231608073
2025-03-19,BILI,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.05581594624124823,-0.0171296681805068,0.039894739764598654,-0.02255984284570805
2025-03-19,TME,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.031488347719536514,-0.0251822472232214,0.03283600947543111,-0.019333330790201823
2025-03-19,IMAX,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.03911552550224263,0.0653245744708361,0.028245911548264356,0.04304101643419432
2025-03-19,MSGE,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.020382687896701647,0.0093939810088186,0.03453996292473462,0.01369448431469882
2025-03-19,PLTK,0.7,positive,1,214,0.0580245804867908,-0.00047609466,0.04154591016977164,-0.0065360456413805,0.05429606498275455,-0.008695644061371573
2025-03-19,CARG,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.02812584625248242,-0.0006682411480033,0.037499860658161265,-0.0030000050862630206
2025-03-19,AMC,0.7,positive,1,214,0.0580245804867908,-0.00047609466,-0.010382028081520306,0.0066225102823933,0.026781325011549593,0.003300326916726055
2025-03-19,NFLX,0.7,positive,1,214,0.0599459570987512,-0.00084672,0.002078181770987342,0.0317318763687264,0.030721581870940727,0.025348077207054474
2025-03-19,DIS,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.03998644827215935,0.0094615244674725,0.03516919234352502,0.006321465284648519
2025-03-19,WBD,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.06508963877812572,0.0510105597168533,0.06573745434387969,0.04697984245264181
2025-03-19,PARA,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.022512807092990885,0.0068610570114038,0.022540308950538584,0.006861057011403851
2025-03-19,SPOT,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.01137381707515418,0.0294127986487122,0.03934991144622282,0.024931395870477453
2025-03-19,RBLX,0.7,positive,1,214,0.0599459570987512,-0.00084672,0.005387467241563283,0.0378706493251264,0.039661776469932686,0.035281532072720424
2025-03-19,EA,0.7,positive,1,214,0.0599459570987512,-0.00084672,0.004308574879376891,0.0007049137023866,0.015221299197299963,-0.0003520845673394236
2025-03-19,TTWO,0.7,positive,1,214,0.0599459570987512,-0.00084672,0.006631833022005499,0.0222200133290357,0.02369240995299862,0.02382353240368413
2025-03-19,SONY,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.011224192199877107,0.0183523184008889,0.023592134876875975,0.015040606753952418
2025-03-19,MTCH,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.017445101799283356,0.0145208639971665,0.03003633303878366,0.014193565614762007
2025-03-19,LYV,0.7,positive,1,214,0.0599459570987512,-0.00084672,0.014540616217626689,0.0288566602451583,0.03322154215040697,0.026188127265096253
2025-03-19,HUYA,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.017349087748597565,-0.0673854440510645,0.03625160248251038,-0.0773333231608073
2025-03-19,BILI,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.05581594624124823,-0.0171296681805068,0.039894739764598654,-0.02255984284570805
2025-03-19,TME,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.031488347719536514,-0.0251822472232214,0.03283600947543111,-0.019333330790201823
2025-03-19,IMAX,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.03911552550224263,0.0653245744708361,0.028245911548264356,0.04304101643419432
2025-03-19,MSGE,0.7,positive,1,214,0.0599459570987512,-0.00084672,-0.020382687896701647,0.0093939810088186,0.03453996292473462,0.01369448431469882
2025-03-19,PLTK,0.7,positive,1,214,0.0599459570987512,-0.00084672,0.04154591016977164,-0.0065360456413805,0.05429606498275455,-0.008695644061371573
